"Name","Period","lat","lng","age_min","age_max","age_mean","p_lng","p_lat","model"
"Bath (Saint Thomas, Jamaica)","Maastrichtian",17.954,-76.355,72.2,66,69.1,-62.1123,18.7456,"MERDITH2021"
"Bath (Saint Thomas, Jamaica)","Maastrichtian",17.954,-76.355,72.2,66,69.1,-72.669,17.6197,"TorsvikCocks2017"
"Bath (Saint Thomas, Jamaica)","Maastrichtian",17.954,-76.355,72.2,66,69.1,-62.3824,17.0114,"MATTHEWS2016_pmag_ref"
"Bath (Saint Thomas, Jamaica)","Maastrichtian",17.954,-76.355,72.2,66,69.1,-70.2772,18.5606,"PALEOMAP"
"Danek Bonebed Quarry 1 (Alberta, Canada)","Maastrichtian",53.436,-113.546,72.2,66,69.1,-68.6504,61.9974,"MERDITH2021"
"Danek Bonebed Quarry 1 (Alberta, Canada)","Maastrichtian",53.436,-113.546,72.2,66,69.1,-80.7453,60.3928,"TorsvikCocks2017"
"Danek Bonebed Quarry 1 (Alberta, Canada)","Maastrichtian",53.436,-113.546,72.2,66,69.1,-68.5817,60.2732,"MATTHEWS2016_pmag_ref"
"Danek Bonebed Quarry 1 (Alberta, Canada)","Maastrichtian",53.436,-113.546,72.2,66,69.1,-66.309,65.6101,"GOLONKA"
"Danek Bonebed Quarry 1 (Alberta, Canada)","Maastrichtian",53.436,-113.546,72.2,66,69.1,-83.5745,61.4899,"PALEOMAP"
"Danek Bonebed Quarry 2 (Alberta, Canada)","Maastrichtian",53.436,-113.545,72.2,66,69.1,-68.6493,61.9971,"MERDITH2021"
"Danek Bonebed Quarry 2 (Alberta, Canada)","Maastrichtian",53.436,-113.545,72.2,66,69.1,-80.7442,60.3925,"TorsvikCocks2017"
"Danek Bonebed Quarry 2 (Alberta, Canada)","Maastrichtian",53.436,-113.545,72.2,66,69.1,-68.5807,60.273,"MATTHEWS2016_pmag_ref"
"Danek Bonebed Quarry 2 (Alberta, Canada)","Maastrichtian",53.436,-113.545,72.2,66,69.1,-66.3078,65.6098,"GOLONKA"
"Danek Bonebed Quarry 2 (Alberta, Canada)","Maastrichtian",53.436,-113.545,72.2,66,69.1,-83.5733,61.4897,"PALEOMAP"
"Edmonton River Valley (Alberta, Canada)","Maastrichtian",53.527,-113.491,72.2,66,69.1,-68.4993,62.0632,"MERDITH2021"
"Edmonton River Valley (Alberta, Canada)","Maastrichtian",53.527,-113.491,72.2,66,69.1,-80.6005,60.458,"TorsvikCocks2017"
"Edmonton River Valley (Alberta, Canada)","Maastrichtian",53.527,-113.491,72.2,66,69.1,-68.4377,60.3385,"MATTHEWS2016_pmag_ref"
"Edmonton River Valley (Alberta, Canada)","Maastrichtian",53.527,-113.491,72.2,66,69.1,-66.1285,65.6718,"GOLONKA"
"Edmonton River Valley (Alberta, Canada)","Maastrichtian",53.527,-113.491,72.2,66,69.1,-83.4475,61.5653,"PALEOMAP"
"Morrin Bridge in Drumheller (Alberta, Canada)","Maastrichtian",51.647,-112.909,72.2,66,69.1,-69.5947,60.2247,"MERDITH2021"
"Morrin Bridge in Drumheller (Alberta, Canada)","Maastrichtian",51.647,-112.909,72.2,66,69.1,-81.6755,58.6242,"TorsvikCocks2017"
"Morrin Bridge in Drumheller (Alberta, Canada)","Maastrichtian",51.647,-112.909,72.2,66,69.1,-69.502,58.5037,"MATTHEWS2016_pmag_ref"
"Morrin Bridge in Drumheller (Alberta, Canada)","Maastrichtian",51.647,-112.909,72.2,66,69.1,-67.5941,63.8636,"GOLONKA"
"Morrin Bridge in Drumheller (Alberta, Canada)","Maastrichtian",51.647,-112.909,72.2,66,69.1,-83.9822,59.6704,"PALEOMAP"
"Big Muddy Badlands, Battle Fm. (Saskatchewan, Canada)","Maastrichtian",49.036,-104.878,72.2,66,69.1,-63.0226,55.6496,"MERDITH2021"
"Big Muddy Badlands, Battle Fm. (Saskatchewan, Canada)","Maastrichtian",49.036,-104.878,72.2,66,69.1,-75.4321,54.0294,"TorsvikCocks2017"
"Big Muddy Badlands, Battle Fm. (Saskatchewan, Canada)","Maastrichtian",49.036,-104.878,72.2,66,69.1,-63.2618,53.9156,"MATTHEWS2016_pmag_ref"
"Big Muddy Badlands, Battle Fm. (Saskatchewan, Canada)","Maastrichtian",49.036,-104.878,72.2,66,69.1,-60.8022,59.1094,"GOLONKA"
"Big Muddy Badlands, Battle Fm. (Saskatchewan, Canada)","Maastrichtian",49.036,-104.878,72.2,66,69.1,-76.4064,55.5884,"PALEOMAP"
"Horsethief Canyon (Alberta, Canada)","Maastrichtian",51.539,-112.869,72.2,66,69.1,-69.6448,60.1167,"MERDITH2021"
"Horsethief Canyon (Alberta, Canada)","Maastrichtian",51.539,-112.869,72.2,66,69.1,-81.7252,58.5165,"TorsvikCocks2017"
"Horsethief Canyon (Alberta, Canada)","Maastrichtian",51.539,-112.869,72.2,66,69.1,-69.5511,58.3959,"MATTHEWS2016_pmag_ref"
"Horsethief Canyon (Alberta, Canada)","Maastrichtian",51.539,-112.869,72.2,66,69.1,-67.6625,63.757,"GOLONKA"
"Horsethief Canyon (Alberta, Canada)","Maastrichtian",51.539,-112.869,72.2,66,69.1,-84.0017,59.56,"PALEOMAP"
"Royal Tyrrell Museum in Drumheller (Alberta, Canada)","Maastrichtian",51.478,-112.789,72.2,66,69.1,-69.6084,60.0401,"MERDITH2021"
"Royal Tyrrell Museum in Drumheller (Alberta, Canada)","Maastrichtian",51.478,-112.789,72.2,66,69.1,-81.6918,58.4397,"TorsvikCocks2017"
"Royal Tyrrell Museum in Drumheller (Alberta, Canada)","Maastrichtian",51.478,-112.789,72.2,66,69.1,-69.5176,58.3192,"MATTHEWS2016_pmag_ref"
"Royal Tyrrell Museum in Drumheller (Alberta, Canada)","Maastrichtian",51.478,-112.789,72.2,66,69.1,-67.6301,63.6796,"GOLONKA"
"Royal Tyrrell Museum in Drumheller (Alberta, Canada)","Maastrichtian",51.478,-112.789,72.2,66,69.1,-83.9455,59.4866,"PALEOMAP"
"Tyrannosaurus Bonebed (Saskatchewan, Canada)","Maastrichtian",49.402,-108.499,72.2,66,69.1,-66.5983,56.9901,"MERDITH2021"
"Tyrannosaurus Bonebed (Saskatchewan, Canada)","Maastrichtian",49.402,-108.499,72.2,66,69.1,-78.8541,55.3781,"TorsvikCocks2017"
"Tyrannosaurus Bonebed (Saskatchewan, Canada)","Maastrichtian",49.402,-108.499,72.2,66,69.1,-66.6786,55.2605,"MATTHEWS2016_pmag_ref"
"Tyrannosaurus Bonebed (Saskatchewan, Canada)","Maastrichtian",49.402,-108.499,72.2,66,69.1,-64.5992,60.5546,"GOLONKA"
"Tyrannosaurus Bonebed (Saskatchewan, Canada)","Maastrichtian",49.402,-108.499,72.2,66,69.1,-80.2374,56.6702,"PALEOMAP"
"Vansandt Site (Saskatchewan, Canada)","Maastrichtian",49.487,-108.257,72.2,66,69.1,-66.2705,57,"MERDITH2021"
"Vansandt Site (Saskatchewan, Canada)","Maastrichtian",49.487,-108.257,72.2,66,69.1,-78.5397,55.3871,"TorsvikCocks2017"
"Vansandt Site (Saskatchewan, Canada)","Maastrichtian",49.487,-108.257,72.2,66,69.1,-66.3651,55.2698,"MATTHEWS2016_pmag_ref"
"Vansandt Site (Saskatchewan, Canada)","Maastrichtian",49.487,-108.257,72.2,66,69.1,-64.2354,60.5554,"GOLONKA"
"Vansandt Site (Saskatchewan, Canada)","Maastrichtian",49.487,-108.257,72.2,66,69.1,-79.9172,56.7028,"PALEOMAP"
"Garfield County (Montana, USA)","Maastrichtian",47.616,-106.902,72.2,66,69.1,-66.2143,54.9255,"MERDITH2021"
