"Name","Period","lat","lng","age_mean","p_lat","p_lng","model","range_p_lat","max_dist"
1,"Late Campanian",61.179,-141.432,74.8,74.684,-94.9476,"MERDITH2021",5.6225,704.816
1,"Late Campanian",61.179,-141.432,74.8,74.1715,-103.7738,"TorsvikCocks2017",5.6225,704.816
1,"Late Campanian",61.179,-141.432,74.8,73.4572,-92.5688,"MATTHEWS2016_pmag_ref",5.6225,704.816
1,"Late Campanian",61.179,-141.432,74.8,73.7612,-91.1653,"GOLONKA",5.6225,704.816
1,"Late Campanian",61.179,-141.432,74.8,69.0615,-104.312,"PALEOMAP",5.6225,704.816
2,"Late Campanian",47.567,13.533,77.85,33.0144,20.201,"MERDITH2021",1.7483,819.272
2,"Late Campanian",47.567,13.533,77.85,32.8224,19.2333,"MATTHEWS2016_pmag_ref",1.7483,819.272
2,"Late Campanian",47.567,13.533,77.85,31.3324,25.2455,"GOLONKA",1.7483,819.272
2,"Late Campanian",47.567,13.533,77.85,33.0807,16.7997,"PALEOMAP",1.7483,819.272
3,"Late Campanian",48.263,16.301,74.8,38.223,22.708,"MERDITH2021",3.3991,713.971
3,"Late Campanian",48.263,16.301,74.8,38.0877,21.3615,"MATTHEWS2016_pmag_ref",3.3991,713.971
3,"Late Campanian",48.263,16.301,74.8,35.8467,24.2419,"GOLONKA",3.3991,713.971
3,"Late Campanian",48.263,16.301,74.8,39.2458,17.3783,"PALEOMAP",3.3991,713.971
4,"Early Campanian",49.694,-125.032,88.75,58.1479,-79.7551,"MERDITH2021",6.4627,961.322
4,"Early Campanian",49.694,-125.032,88.75,57.1394,-86.3624,"TorsvikCocks2017",6.4627,961.322
4,"Early Campanian",49.694,-125.032,88.75,56.7553,-78.1487,"MATTHEWS2016_pmag_ref",6.4627,961.322
4,"Early Campanian",49.694,-125.032,88.75,54.1365,-85.7725,"GOLONKA",6.4627,961.322
4,"Early Campanian",49.694,-125.032,88.75,51.6852,-89.7442,"PALEOMAP",6.4627,961.322
5,"Late Campanian",50.731,-111.572,77.85,57.6656,-66.3736,"MERDITH2021",4.268,736.128
5,"Late Campanian",50.731,-111.572,77.85,56.9555,-76.1544,"TorsvikCocks2017",4.268,736.128
5,"Late Campanian",50.731,-111.572,77.85,56.4589,-66.3964,"MATTHEWS2016_pmag_ref",4.268,736.128
5,"Late Campanian",50.731,-111.572,77.85,60.7269,-65.6571,"GOLONKA",4.268,736.128
5,"Late Campanian",50.731,-111.572,77.85,58.6803,-75.2495,"PALEOMAP",4.268,736.128
6,"Late Campanian",50.758,-111.502,77.85,57.6724,-66.2774,"MERDITH2021",4.2669,736.524
6,"Late Campanian",50.758,-111.502,77.85,56.9617,-76.06,"TorsvikCocks2017",4.2669,736.524
6,"Late Campanian",50.758,-111.502,77.85,56.4655,-66.3033,"MATTHEWS2016_pmag_ref",4.2669,736.524
6,"Late Campanian",50.758,-111.502,77.85,60.7324,-65.5516,"GOLONKA",4.2669,736.524
6,"Late Campanian",50.758,-111.502,77.85,58.6899,-75.1514,"PALEOMAP",4.2669,736.524
7,"Late Campanian",79.886,-89.191,74.8,73.254,2.3201,"MERDITH2021",3.19189999999999,844.414
7,"Late Campanian",79.886,-89.191,74.8,72.8639,-10.1927,"TorsvikCocks2017",3.19189999999999,844.414
7,"Late Campanian",79.886,-89.191,74.8,72.5955,-2.0536,"MATTHEWS2016_pmag_ref",3.19189999999999,844.414
7,"Late Campanian",79.886,-89.191,74.8,71.284,14.0219,"GOLONKA",3.19189999999999,844.414
7,"Late Campanian",79.886,-89.191,74.8,74.4759,0.5777,"PALEOMAP",3.19189999999999,844.414
8,"Late Campanian",79.271,-91.771,83.3,74.1695,-1.2427,"MERDITH2021",1.5825,680.499
